model_name,num_epochs,loss,Dice,Jaccard,Time
model_unet_plus_plus_3,50,0.358917,0.881834,0.757866,45957.032332897186
model_unet_plus_plus_2,10,0.2956502288825997,0.9000774025917053,0.7903785109519958,9651.709692239761
model_unet_plus_plus_1,12,0.33822062238804806,0.8960907459259033,0.7868848443031311,10036.309300422668
model_deep_labv3_1,15,0.5394182885791541,0.8383980393409729,0.6445627808570862,12530.238382816315
model_deep_labv3_2,20,0.31991129593931067,0.8939874768257141,0.7769617438316345,15660.422923088074
model_deep_labv3_3,15,0.5437424040769806,0.8687348365783691,0.7340883016586304,13844.597742080688
model_PAN_2,15,0.33528586000676514,0.8878470659255981,0.7643412351608276,8624.808004379272
model_PAN_1,40,0.3918769373367768,0.8690730333328247,0.7334325909614563,22267.954711437225
model_PAN_3,13,0.3563513007467733,0.8950334787368774,0.7806524634361267,7243.869646310806
model_PSPNet_1,25,0.2984584155966143,0.8991847634315491,0.7867040038108826,11080.699865818024
model_PSPNet_2,15,0.3498694043547466,0.895115077495575,0.7821074724197388,6723.620865106583
model_PSPNet_3,12,402.78108628296945,0.22578340768814087,0.023059057071805,5324.675271034241
